Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.,betatest,TestGroup
2,0.0488184647805831,0.0244092323902916,1.97314433212147,0.07979079993523,0.011,dice,Method
2,0.0668983318807697,0.0334491659403848,2.70389626081447,0.109341238793363,0.001,dice,Filt
4,0.162104287431012,0.0405260718577531,3.275964918138,0.264949560072922,0.001,dice,Method:Filt
27,0.334009663565402,0.0123707282802001,NA,0.545918401198485,NA,dice,Residuals
35,0.611830747657768,NA,NA,1,NA,dice,Total
2,0.134628810005495,0.0673144050027473,0.587834701829616,0.0324059240975708,0.656,bray,Method
2,0.6985794012143,0.34928970060715,3.05023281421235,0.168152054905285,0.04,bray,Filt
4,0.229405612176766,0.0573514030441916,0.500831061443929,0.0552192421180403,0.848,bray,Method:Filt
27,3.09183675175573,0.114512472287249,NA,0.744222778879104,NA,bray,Residuals
35,4.15445057515229,NA,NA,1,NA,bray,Total
2,0.0145282553747403,0.00726412768737013,1.13311422678449,0.0579900655733508,0.387,morisita,Method
2,0.0391522990919532,0.0195761495459766,3.05363761636155,0.156277841566397,0.036,morisita,Filt
4,0.023758895662703,0.00593972391567574,0.92652359122571,0.0948345057195264,0.516,morisita,Method:Filt
27,0.173090623101227,0.00641076381856397,NA,0.690897587140726,NA,morisita,Residuals
35,0.250530073230624,NA,NA,1,NA,morisita,Total
